_id,session,run,meanScore,maxScore,alpha,gamma,exploreRate,batchSize,bufferSize
647d43127c9f21da12692999,3,30,18.633333333333333,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269299a,3,31,18.612903225806452,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269299b,3,32,18.65625,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269299c,3,33,19.151515151515152,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269299d,3,34,19.147058823529413,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269299e,3,35,19.742857142857144,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269299f,3,36,19.555555555555557,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929a0,3,37,19.486486486486488,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929a1,3,38,19.605263157894736,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929a2,3,39,19.846153846153847,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929a3,3,40,19.625,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929a4,3,41,19.5609756097561,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929a5,3,42,19.642857142857142,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929a6,3,43,19.511627906976745,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929a7,3,44,19.5,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929a8,3,45,19.42222222222222,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929a9,3,46,19.32608695652174,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929aa,3,47,19.23404255319149,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929ab,3,48,19.354166666666668,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929ac,3,49,19.26530612244898,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929ad,3,50,19.3,43,0.01,0.9,90.0,40,10000
647d43127c9f21da126929ae,3,51,19.862745098039216,48,0.01,0.9,90.0,40,10000
647d43127c9f21da126929af,3,52,19.78846153846154,48,0.01,0.9,90.0,40,10000
647d43127c9f21da126929b0,3,53,19.660377358490567,48,0.01,0.9,90.0,40,10000
647d43127c9f21da126929b1,3,54,19.61111111111111,48,0.01,0.9,90.0,40,10000
647d43127c9f21da126929b2,3,55,20.2,52,0.01,0.9,90.0,40,10000
647d43127c9f21da126929b3,3,56,20.553571428571427,52,0.01,0.9,90.0,40,10000
647d43127c9f21da126929b4,3,57,20.68421052631579,52,0.01,0.9,90.0,40,10000
647d43127c9f21da126929b5,3,58,20.56896551724138,52,0.01,0.9,90.0,40,10000
647d43127c9f21da126929b6,3,59,20.440677966101696,52,0.01,0.9,90.0,40,10000
647d43127c9f21da126929b7,3,60,20.416666666666668,52,0.01,0.9,90.0,40,10000
647d43127c9f21da126929b8,3,61,20.311475409836067,52,0.01,0.9,90.0,40,10000
647d43127c9f21da126929b9,3,62,20.322580645161292,52,0.01,0.9,90.0,40,10000
647d43127c9f21da126929ba,3,63,20.238095238095237,52,0.01,0.9,90.0,40,10000
647d43127c9f21da126929bb,3,64,20.5,52,0.01,0.9,90.0,40,10000
647d43127c9f21da126929bc,3,65,20.353846153846153,52,0.01,0.9,90.0,40,10000
647d43127c9f21da126929bd,3,66,20.848484848484848,53,0.01,0.9,90.0,40,10000
647d43127c9f21da126929be,3,67,20.71641791044776,53,0.01,0.9,90.0,40,10000
